frequency,frequency,amplitude,phase,I,Q
5210000000.0,5398500000.0,0.129455008254203,-0.5375089323868958,0.11120013892650604,-0.06628067791461945
5210000000.0,5398750000.0,0.1290736771455756,-0.5334435576912552,0.11114032566547394,-0.06563415378332138
5210000000.0,5399000000.0,0.1285408092940759,-0.5410073436060658,0.11018393933773041,-0.06619848310947418
5210000000.0,5399250000.0,0.13190062576808403,-0.5381739671102229,0.11325595527887344,-0.06760816276073456
5210000000.0,5399500000.0,0.12841293066030088,-0.5271030914268974,0.11098317801952362,-0.0645957812666893
5210000000.0,5399750000.0,0.1291786957098877,-0.5282287236818697,0.1115717887878418,-0.06510661542415619
5210000000.0,5400000000.0,0.12852560467993768,-0.5383761398387853,0.11034468561410904,-0.0659005418419838
5211000000.0,5345000000.0,0.12972312360731178,-0.5430632646737132,0.11105982214212418,-0.06703584641218185
5211000000.0,5345250000.0,0.1306761747200182,-0.5259140874793863,0.11301730573177338,-0.06559993326663971
5211000000.0,5345500000.0,0.1293724891300634,-0.5405769831148374,0.11092551052570343,-0.06657906621694565
5211000000.0,5345750000.0,0.12927412906578242,-0.5462826792403076,0.11045978218317032,-0.06715978682041168
5211000000.0,5346000000.0,0.12937862655301585,-0.5412916344521236,0.11088316142559052,-0.06666148453950882
5211000000.0,5346250000.0,0.1305416831482321,-0.5338920079968487,0.11237458884716034,-0.06643103808164597
5211000000.0,5346500000.0,0.12931745088729946,-0.5435006055225597,0.11068327724933624,-0.06687462329864502
5211000000.0,5346750000.0,0.1290783686196037,-0.5370763982011441,0.11090518534183502,-0.06603987514972687
5211000000.0,5347000000.0,0.1303010639878416,-0.5326412267480559,0.11225030571222305,-0.06616824120283127
5211000000.0,5347250000.0,0.128795046611658,-0.5426101380997553,0.11029541492462158,-0.0665062814950943
5211000000.0,5347500000.0,0.13030693894429735,-0.5379911890989454,0.11189974844455719,-0.06677083671092987
5211000000.0,5347750000.0,0.12966135506061424,-0.5481494662624693,0.11066471040248871,-0.06756766140460968
5211000000.0,5348000000.0,0.13036554229438402,-0.5388313993523948,0.1118939071893692,-0.06689490377902985
5211000000.0,5348250000.0,0.12972425952768407,-0.5326759858360494,0.11175111681222916,-0.0658792182803154
5211000000.0,5348500000.0,0.12979730044533774,-0.5406568661209968,0.11128441244363785,-0.06680657714605331
5211000000.0,5348750000.0,0.1293371486131686,-0.5493696580731929,0.11030568182468414,-0.06753335893154144
5211000000.0,5349000000.0,0.12940305930477847,-0.575793532345128,0.1085381731390953,-0.07046003639698029
